timestamp,best_hidden_layer_sizes,activation,solver,learning_rate,pred_2025,accuracy_within_5pct
2025-10-28T13:57:36.336311,"(16, 8)",identity,adam,adaptive,24422.41448190798,1.0
2025-10-28T13:58:14.009985,"(8,)",identity,adam,constant,24329.99068096019,1.0
2025-10-28T15:04:29.270880,"(32, 16)",identity,adam,adaptive,24581.59776350431,1.0
2025-10-28T15:04:35.944442,"(32, 16)",identity,adam,adaptive,24581.59776350431,1.0
2025-10-28T15:04:50.808710,"(32,)",identity,adam,adaptive,24261.161245167696,1.0
2025-10-28T15:05:01.471435,"(16, 8)",tanh,adam,adaptive,23799.775710579554,1.0
2025-10-28T15:05:12.387716,"(32, 16)",identity,adam,constant,24581.59776350431,1.0
2025-10-28T15:09:30.686403,"(16, 8)",identity,adam,constant,24422.41448190798,1.0
2025-10-28T15:09:40.698653,"(32,)",identity,adam,adaptive,24261.161245167696,1.0
2025-10-28T15:09:47.772064,"(32,)",identity,adam,constant,24261.161245167696,1.0
2025-10-28T15:09:56.258015,"(32, 16)",identity,adam,constant,24581.59776350431,1.0
2025-10-28T15:10:13.285311,"(16, 8)",tanh,adam,constant,23799.775710579554,1.0
2025-10-28T15:41:25.775839,"(16, 8)",tanh,adam,adaptive,23799.775710579554,1.0
